station,R_st,R_raw,R_v1,R_v2,PBIAS_R_raw,PBIAS_R_v1,PBIAS_R_v2
Онега_22641_calib.csv,9895.286666666667,6838.996425947346,11243.558756286719,28849.61346220954,-30.886323394902362,13.625396969668909,191.5490418220278
Опарино_27083_calib.csv,10890.176666666666,6386.479407711931,8766.295437334873,18675.29748871601,-41.35559409922094,-19.502725202178784,71.48755305208708
Оренбург_35121_calib.csv,3736.446666666667,2067.2019193808023,2252.4692803656544,6994.89044866389,-44.67465740050345,-39.7162737404971,87.20701973525354
Павелец_27823_calib.csv,10935.449999999999,6316.8646214849305,6316.8646214849305,20454.671860688853,-42.234982360260155,-42.234982360260155,87.04920109084543
Паданы_22619_calib.csv,5943.816666666667,5563.971184105236,7678.853491621239,16969.939531648197,-6.390598900730409,29.190618120588724,185.50576983332593
Пенза_27962_calib.csv,9677.48,4254.29328327771,4254.29328327771,16020.643606063531,-56.039244893528995,-56.039244893528995,65.54561317681392
Перелюб_35007_calib.csv,5997.786666666666,2738.698807845174,3631.518465514987,12805.86661703107,-54.33817572962735,-39.452356888624685,113.5098717031906
Переславль_Залесский_27425_calib.csv,12936.533333333333,7013.192083077384,7013.192083077384,30589.873004381738,-45.78770136968133,-45.78770136968133,136.4611307850254
Пермь_28224_calib.csv,12808.266666666666,5831.4747366404345,9036.155506571326,21666.111693797313,-54.47100776081774,-29.450598260201804,69.15725021702634
Петрозаводск_22820_calib.csv,8701.84,6973.431252203867,7972.906056211512,16088.073925505993,-19.862566397407132,-8.376779437320018,84.8812886183381
Петрунь_23324_calib.csv,5957.196666666667,3548.9989637891217,4707.374833408554,11658.909070246773,-40.42501595343579,-20.980033112746757,95.71133408241974
Печора_23418_calib.csv,8855.513333333334,4673.3163804229325,6199.438443988003,12850.909315042572,-47.227041454141954,-29.99346045076247,45.11761014090549
Плавск_27814_calib.csv,9487.026666666667,6072.622906725013,6072.622906725013,17499.91183681828,-35.99024098813172,-35.99024098813172,84.46150149767625
Полярное_22019_calib.csv,4464.193333333334,3879.1197247265336,4806.70109160884,10689.11835948778,-13.105920037964305,7.672332551506281,139.44120608921762
Поныри_34003_calib.csv,10165.83,6777.380171866334,8815.728271959117,17531.798731853443,-33.33175774268963,-13.280782071320132,72.4581144073179
Порецкое_27675_calib.csv,6470.676666666666,4152.483111914361,4493.003981332692,12246.780974191606,-35.82613804046726,-30.563614706972544,89.26584660426973
Приморско_Ахтарск_34824_calib.csv,15410.779999999999,10195.687760261277,13031.369484904479,30624.190549870418,-33.84054694012063,-15.439909693704799,98.71927670027358
Псков_26258_calib.csv,8046.543333333333,6791.750556390466,6791.750556390466,15871.49840678207,-15.594184048506962,-15.594184048506962,97.24616831470163
Пушкинские_Горы_26359_calib.csv,12772.033333333336,6490.87128689728,7427.968378192658,17120.219149954966,-49.17902954452088,-41.8419277155609,34.04458556550611
Ра_Из_23331_calib.csv,0.0,4649.773312357868,3359.4612181785596,0.0,0.0,0.0,0.0
Реболы_22602_calib.csv,6501.696666666667,4996.776665412257,4996.776665412257,11118.417156851241,-23.14657355471433,-23.14657355471433,71.00793418822329
Ремонтное_34759_calib.csv,9001.586666666666,3977.18874007457,5309.637689130219,11268.3079525292,-55.81680333310235,-41.01442461480622,25.181352685925003
Росташи_34059_calib.csv,10543.893333333333,5139.241304783591,5672.203818770982,17280.827322596488,-51.25859924496337,-46.20389604247088,63.894178139730364
Ростов_на_Дону_34730_calib.csv,17061.373333333333,8282.473591877193,9201.582573251062,31467.672077697207,-51.45482470807043,-46.067749685345404,84.43809570837912
Рыбинск_ГМО_27225_calib.csv,12222.286666666667,7198.710611733518,11207.51228804679,27004.41533834901,-41.10176918557915,-8.302655683796297,120.944051426948
Рыльск_33166_calib.csv,11649.960000000001,6620.203041587708,7307.708452964071,21920.17668665813,-43.174027708355155,-37.27267344296401,88.15666909292504
Рязань_27730_calib.csv,9206.99,6370.167382362375,6370.167382362375,24024.050440608436,-30.811618320836935,-30.811618320836935,160.9327308991151
Санкт_Петербург_26063_calib.csv,9105.383333333333,5526.562462317265,7359.712806601935,15310.395227762365,-39.30445034548501,-19.17185101192589,68.14663004591458
Саранпауль_23527_calib.csv,9192.303333333333,4954.514181918018,4954.514181918018,13456.530457104025,-46.10149380132127,-46.10149380132127,46.389103678809825
Сарапул_28418_calib.csv,6655.35,3858.741865498547,5542.30109772286,12387.012328370574,-42.02045173434084,-16.72412273249552,86.12112553615624
Саратов_34172_calib.csv,10628.323333333334,3875.587482955269,5264.433164561422,14123.367909345816,-63.53528810324801,-50.46788661339726,32.88425150795954
Святой_Нос_22140_calib.csv,2974.9033333333336,3174.45688756275,3087.7964219985015,4626.008608944641,6.707900454897127,3.7948489754345354,55.501140393737415
Серноводск_28802_calib.csv,6309.503333333333,3533.0911125912908,3533.0911125912908,10864.147507695681,-44.00365724627098,-44.00365724627098,72.18704759691622
